Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         150000	         5	00100080	0000	c.unimp	
         180000	         8	00100000	0000	c.unimp	
         210000	        11	00100000	0000	c.unimp	
         240000	        14	00100000	0000	c.unimp	
         270000	        17	00100000	0000	c.unimp	
         300000	        20	00100000	0000	c.unimp	
         330000	        23	00100000	0000	c.unimp	
         360000	        26	00100000	0000	c.unimp	
         390000	        29	00100000	0000	c.unimp	
         420000	        32	00100000	0000	c.unimp	
         450000	        35	00100000	0000	c.unimp	
         480000	        38	00100000	0000	c.unimp	
         510000	        41	00100000	0000	c.unimp	
         540000	        44	00100000	0000	c.unimp	
         570000	        47	00100000	0000	c.unimp	
         600000	        50	00100000	0000	c.unimp	
         630000	        53	00100000	0000	c.unimp	
         660000	        56	00100000	0000	c.unimp	
         690000	        59	00100000	0000	c.unimp	
         720000	        62	00100000	0000	c.unimp	
         750000	        65	00100000	0000	c.unimp	
         780000	        68	00100000	0000	c.unimp	
         810000	        71	00100000	0000	c.unimp	
         840000	        74	00100000	0000	c.unimp	
         870000	        77	00100000	0000	c.unimp	
         900000	        80	00100000	0000	c.unimp	
         930000	        83	00100000	0000	c.unimp	
         960000	        86	00100000	0000	c.unimp	
         990000	        89	00100000	0000	c.unimp	
        1020000	        92	00100000	0000	c.unimp	
        1050000	        95	00100000	0000	c.unimp	
        1080000	        98	00100000	0000	c.unimp	
        1110000	       101	00100000	0000	c.unimp	
        1140000	       104	00100000	0000	c.unimp	
        1170000	       107	00100000	0000	c.unimp	
        1200000	       110	00100000	0000	c.unimp	
        1230000	       113	00100000	0000	c.unimp	
        1260000	       116	00100000	0000	c.unimp	
        1290000	       119	00100000	0000	c.unimp	
        1320000	       122	00100000	0000	c.unimp	
        1350000	       125	00100000	0000	c.unimp	
        1380000	       128	00100000	0000	c.unimp	
        1410000	       131	00100000	0000	c.unimp	
        1440000	       134	00100000	0000	c.unimp	
        1470000	       137	00100000	0000	c.unimp	
        1500000	       140	00100000	0000	c.unimp	
        1530000	       143	00100000	0000	c.unimp	
        1560000	       146	00100000	0000	c.unimp	
        1590000	       149	00100000	0000	c.unimp	
        1620000	       152	00100000	0000	c.unimp	
        1650000	       155	00100000	0000	c.unimp	
        1680000	       158	00100000	0000	c.unimp	
        1710000	       161	00100000	0000	c.unimp	
        1740000	       164	00100000	0000	c.unimp	
        1770000	       167	00100000	0000	c.unimp	
        1800000	       170	00100000	0000	c.unimp	
        1830000	       173	00100000	0000	c.unimp	
        1860000	       176	00100000	0000	c.unimp	
        1890000	       179	00100000	0000	c.unimp	
        1920000	       182	00100000	0000	c.unimp	
        1950000	       185	00100000	0000	c.unimp	
        1980000	       188	00100000	0000	c.unimp	
        2010000	       191	00100000	0000	c.unimp	
        2040000	       194	00100000	0000	c.unimp	
        2070000	       197	00100000	0000	c.unimp	
        2100000	       200	00100000	0000	c.unimp	
        2130000	       203	00100000	0000	c.unimp	
        2160000	       206	00100000	0000	c.unimp	
        2190000	       209	00100000	0000	c.unimp	
        2220000	       212	00100000	0000	c.unimp	
        2250000	       215	00100000	0000	c.unimp	
        2280000	       218	00100000	0000	c.unimp	
        2310000	       221	00100000	0000	c.unimp	
        2340000	       224	00100000	0000	c.unimp	
        2370000	       227	00100000	0000	c.unimp	
        2400000	       230	00100000	0000	c.unimp	
        2430000	       233	00100000	0000	c.unimp	
        2460000	       236	00100000	0000	c.unimp	
        2490000	       239	00100000	0000	c.unimp	
        2520000	       242	00100000	0000	c.unimp	
        2550000	       245	00100000	0000	c.unimp	
        2580000	       248	00100000	0000	c.unimp	
        2610000	       251	00100000	0000	c.unimp	
        2640000	       254	00100000	0000	c.unimp	
        2670000	       257	00100000	0000	c.unimp	
        2700000	       260	00100000	0000	c.unimp	
        2730000	       263	00100000	0000	c.unimp	
        2760000	       266	00100000	0000	c.unimp	
        2790000	       269	00100000	0000	c.unimp	
        2820000	       272	00100000	0000	c.unimp	
        2850000	       275	00100000	0000	c.unimp	
        2880000	       278	00100000	0000	c.unimp	
        2910000	       281	00100000	0000	c.unimp	
        2940000	       284	00100000	0000	c.unimp	
        2970000	       287	00100000	0000	c.unimp	
        3000000	       290	00100000	0000	c.unimp	
        3030000	       293	00100000	0000	c.unimp	
        3060000	       296	00100000	0000	c.unimp	
        3090000	       299	00100000	0000	c.unimp	
        3120000	       302	00100000	0000	c.unimp	
        3150000	       305	00100000	0000	c.unimp	
        3180000	       308	00100000	0000	c.unimp	
        3210000	       311	00100000	0000	c.unimp	
        3240000	       314	00100000	0000	c.unimp	
        3270000	       317	00100000	0000	c.unimp	
        3300000	       320	00100000	0000	c.unimp	
        3330000	       323	00100000	0000	c.unimp	
        3360000	       326	00100000	0000	c.unimp	
        3390000	       329	00100000	0000	c.unimp	
        3420000	       332	00100000	0000	c.unimp	
        3450000	       335	00100000	0000	c.unimp	
        3480000	       338	00100000	0000	c.unimp	
        3510000	       341	00100000	0000	c.unimp	
        3540000	       344	00100000	0000	c.unimp	
        3570000	       347	00100000	0000	c.unimp	
        3600000	       350	00100000	0000	c.unimp	
        3630000	       353	00100000	0000	c.unimp	
        3660000	       356	00100000	0000	c.unimp	
        3690000	       359	00100000	0000	c.unimp	
        3720000	       362	00100000	0000	c.unimp	
        3750000	       365	00100000	0000	c.unimp	
        3780000	       368	00100000	0000	c.unimp	
        3810000	       371	00100000	0000	c.unimp	
        3840000	       374	00100000	0000	c.unimp	
        3870000	       377	00100000	0000	c.unimp	
        3900000	       380	00100000	0000	c.unimp	
        3930000	       383	00100000	0000	c.unimp	
        3960000	       386	00100000	0000	c.unimp	
        3990000	       389	00100000	0000	c.unimp	
        4020000	       392	00100000	0000	c.unimp	
        4050000	       395	00100000	0000	c.unimp	
        4080000	       398	00100000	0000	c.unimp	
        4110000	       401	00100000	0000	c.unimp	
