Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           7000	         5	80000080	0000cf17	auipc	x30,0xc	 x30=0x8000c080
           8000	         6	80000084	c04f0f13	addi	x30,x30,-1020	 x30:0x8000c080 x30=0x8000bc84
           9000	         7	80000088	00000d97	auipc	x27,0x0	 x27=0x80000088
          10000	         8	8000008c	f78d8d93	addi	x27,x27,-136	 x27:0x80000088 x27=0x80000000
          11000	         9	80000090	001ded93	ori	x27,x27,1	 x27:0x80000000 x27=0x80000001
          12000	        10	80000094	305d9073	csrrw	x0,mtvec,x0	  x0:0x00000000  x0=0x00000000
          16000	        14	80000000	5a40106f	jal	x0,800015a4	  x0=0x00000000
          17000	        15	800015a4	340d1d73	csrrw	x26,mscratch,x26	 x26:0x00000000 x26=0x00000000
          18000	        16	800015a8	000f0d33	add	x26,x30,x0	 x30:0x8000bc84  x0:0x00000000 x26=0x8000bc84
          19000	        17	800015ac	f84d0d13	addi	x26,x26,-124	 x26:0x8000bc84 x26=0x8000bc08
          21000	        19	800015b0	001d2223	sw	x1,4(x26)	 x26:0x8000bc08  x1:0x00000000 PA:0x8000bc0c store:0x00000000 load:0x00000000
          23000	        21	800015b4	002d2423	sw	x2,8(x26)	 x26:0x8000bc08  x2:0x00000000 PA:0x8000bc10 store:0x00000000 load:0x00000000
          25000	        23	800015b8	003d2623	sw	x3,12(x26)	 x26:0x8000bc08  x3:0x00000000 PA:0x8000bc14 store:0x00000000 load:0x00000000
          27000	        25	800015bc	004d2823	sw	x4,16(x26)	 x26:0x8000bc08  x4:0x00000000 PA:0x8000bc18 store:0x00000000 load:0x00000000
          29000	        27	800015c0	005d2a23	sw	x5,20(x26)	 x26:0x8000bc08  x5:0x00000000 PA:0x8000bc1c store:0x00000000 load:0x00000000
          31000	        29	800015c4	006d2c23	sw	x6,24(x26)	 x26:0x8000bc08  x6:0x00000000 PA:0x8000bc20 store:0x00000000 load:0x00000000
          33000	        31	800015c8	007d2e23	sw	x7,28(x26)	 x26:0x8000bc08  x7:0x00000000 PA:0x8000bc24 store:0x00000000 load:0x00000000
          35000	        33	800015cc	028d2023	sw	x8,32(x26)	 x26:0x8000bc08  x8:0x00000000 PA:0x8000bc28 store:0x00000000 load:0x00000000
          37000	        35	800015d0	029d2223	sw	x9,36(x26)	 x26:0x8000bc08  x9:0x00000000 PA:0x8000bc2c store:0x00000000 load:0x00000000
          39000	        37	800015d4	02ad2423	sw	x10,40(x26)	 x26:0x8000bc08 x10:0x00000000 PA:0x8000bc30 store:0x00000000 load:0x00000000
          41000	        39	800015d8	02bd2623	sw	x11,44(x26)	 x26:0x8000bc08 x11:0x00000000 PA:0x8000bc34 store:0x00000000 load:0x00000000
          43000	        41	800015dc	02cd2823	sw	x12,48(x26)	 x26:0x8000bc08 x12:0x00000000 PA:0x8000bc38 store:0x00000000 load:0x00000000
          45000	        43	800015e0	02dd2a23	sw	x13,52(x26)	 x26:0x8000bc08 x13:0x00000000 PA:0x8000bc3c store:0x00000000 load:0x00000000
          47000	        45	800015e4	02ed2c23	sw	x14,56(x26)	 x26:0x8000bc08 x14:0x00000000 PA:0x8000bc40 store:0x00000000 load:0x00000000
          49000	        47	800015e8	02fd2e23	sw	x15,60(x26)	 x26:0x8000bc08 x15:0x00000000 PA:0x8000bc44 store:0x00000000 load:0x00000000
          51000	        49	800015ec	050d2023	sw	x16,64(x26)	 x26:0x8000bc08 x16:0x00000000 PA:0x8000bc48 store:0x00000000 load:0x00000000
          53000	        51	800015f0	051d2223	sw	x17,68(x26)	 x26:0x8000bc08 x17:0x00000000 PA:0x8000bc4c store:0x00000000 load:0x00000000
          55000	        53	800015f4	052d2423	sw	x18,72(x26)	 x26:0x8000bc08 x18:0x00000000 PA:0x8000bc50 store:0x00000000 load:0x00000000
          57000	        55	800015f8	053d2623	sw	x19,76(x26)	 x26:0x8000bc08 x19:0x00000000 PA:0x8000bc54 store:0x00000000 load:0x00000000
          59000	        57	800015fc	054d2823	sw	x20,80(x26)	 x26:0x8000bc08 x20:0x00000000 PA:0x8000bc58 store:0x00000000 load:0x00000000
          61000	        59	80001600	055d2a23	sw	x21,84(x26)	 x26:0x8000bc08 x21:0x00000000 PA:0x8000bc5c store:0x00000000 load:0x00000000
          63000	        61	80001604	056d2c23	sw	x22,88(x26)	 x26:0x8000bc08 x22:0x00000000 PA:0x8000bc60 store:0x00000000 load:0x00000000
          65000	        63	80001608	057d2e23	sw	x23,92(x26)	 x26:0x8000bc08 x23:0x00000000 PA:0x8000bc64 store:0x00000000 load:0x00000000
          67000	        65	8000160c	078d2023	sw	x24,96(x26)	 x26:0x8000bc08 x24:0x00000000 PA:0x8000bc68 store:0x00000000 load:0x00000000
