Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           9000	         5	80000080	40001637	lui	x12,0x40001	 x12=0x40001000
          10000	         6	80000084	10460613	addi	x12,x12,260	 x12:0x40001000 x12=0x40001104
          11000	         7	80000088	30161073	csrrw	x0,misa,x12	 x12:0x40001104  x0=0x00000000
          14000	        10	8000008c	0000ce97	auipc	x29,0xc	 x29=0x8000c08c
          15000	        11	80000090	bf8e8e93	addi	x29,x29,-1032	 x29:0x8000c08c x29=0x8000bc84
          16000	        12	80000094	00000617	auipc	x12,0x0	 x12=0x80000094
          17000	        13	80000098	f6c60613	addi	x12,x12,-148	 x12:0x80000094 x12=0x80000000
          18000	        14	8000009c	00166613	ori	x12,x12,1	 x12:0x80000000 x12=0x80000001
          19000	        15	800000a0	30561073	csrrw	x0,mtvec,x12	 x12:0x80000001  x0=0x00000000
          22000	        18	800000a4	00000617	auipc	x12,0x0	 x12=0x800000a4
          23000	        19	800000a8	00c60613	addi	x12,x12,12	 x12:0x800000a4 x12=0x800000b0
          24000	        20	800000ac	34161073	csrrw	x0,mepc,x12	 x12:0x800000b0  x0=0x00000000
          25000	        21	800000b0	80000037	lui	x0,0x80000	  x0=0x00000000
          26000	        22	800000b4	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          27000	        23	800000b6	fdca50b7	lui	x1,0xfdca5	  x1=0xfdca5000
          28000	        24	800000ba	e7208093	addi	x1,x1,-398	  x1:0xfdca5000  x1=0xfdca4e72
          29000	        25	800000be	412d	c.li	x2,11	  x2=0x0000000b
          30000	        26	800000c0	c712d1b7	lui	x3,0xc712d	  x3=0xc712d000
          31000	        27	800000c4	cd118193	addi	x3,x3,-815	  x3:0xc712d000  x3=0xc712ccd1
          32000	        28	800000c8	4219	c.li	x4,6	  x4=0x00000006
          33000	        29	800000ca	42b5	c.li	x5,13	  x5=0x0000000d
          34000	        30	800000cc	80000337	lui	x6,0x80000	  x6=0x80000000
