Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           7000	         5	80000080	0000ca17	auipc	x20,0xc	 x20=0x8000c080
           8000	         6	80000084	c04a0a13	addi	x20,x20,-1020	 x20:0x8000c080 x20=0x8000bc84
           9000	         7	80000088	00000f97	auipc	x31,0x0	 x31=0x80000088
          10000	         8	8000008c	f78f8f93	addi	x31,x31,-136	 x31:0x80000088 x31=0x80000000
          11000	         9	80000090	001fef93	ori	x31,x31,1	 x31:0x80000000 x31=0x80000001
          12000	        10	80000094	305f9073	csrrw	x0,mtvec,x0	  x0:0x00000000  x0=0x00000000
          16000	        14	80000000	6640106f	jal	x0,80001664	  x0=0x00000000
          17000	        15	80001664	340d9df3	csrrw	x27,mscratch,x27	 x27:0x00000000 x27=0x00000000
          18000	        16	80001668	000a0db3	add	x27,x20,x0	 x20:0x8000bc84  x0:0x00000000 x27=0x8000bc84
          19000	        17	8000166c	f84d8d93	addi	x27,x27,-124	 x27:0x8000bc84 x27=0x8000bc08
          21000	        19	80001670	001da223	sw	x1,4(x27)	 x27:0x8000bc08  x1:0x00000000 PA:0x8000bc0c store:0x00000000 load:0x00000000
          23000	        21	80001674	002da423	sw	x2,8(x27)	 x27:0x8000bc08  x2:0x00000000 PA:0x8000bc10 store:0x00000000 load:0x00000000
          25000	        23	80001678	003da623	sw	x3,12(x27)	 x27:0x8000bc08  x3:0x00000000 PA:0x8000bc14 store:0x00000000 load:0x00000000
          27000	        25	8000167c	004da823	sw	x4,16(x27)	 x27:0x8000bc08  x4:0x00000000 PA:0x8000bc18 store:0x00000000 load:0x00000000
          29000	        27	80001680	005daa23	sw	x5,20(x27)	 x27:0x8000bc08  x5:0x00000000 PA:0x8000bc1c store:0x00000000 load:0x00000000
          31000	        29	80001684	006dac23	sw	x6,24(x27)	 x27:0x8000bc08  x6:0x00000000 PA:0x8000bc20 store:0x00000000 load:0x00000000
          33000	        31	80001688	007dae23	sw	x7,28(x27)	 x27:0x8000bc08  x7:0x00000000 PA:0x8000bc24 store:0x00000000 load:0x00000000
          35000	        33	8000168c	028da023	sw	x8,32(x27)	 x27:0x8000bc08  x8:0x00000000 PA:0x8000bc28 store:0x00000000 load:0x00000000
