Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           7000	         5	80000080	40001fb7	lui	x31,0x40001	 x31=0x40001000
           8000	         6	80000084	104f8f93	addi	x31,x31,260	 x31:0x40001000 x31=0x40001104
           9000	         7	80000088	301f9073	csrrw	x0,misa,x0	  x0:0x00000000  x0=0x00000000
          13000	        11	80000000	4c40106f	jal	x0,800014c4	  x0=0x00000000
          14000	        12	800014c4	340696f3	csrrw	x13,mscratch,x13	 x13:0x00000000 x13=0x00000000
          15000	        13	800014c8	000e86b3	add	x13,x29,x0	 x29:0x00000000  x0:0x00000000 x13=0x00000000
          16000	        14	800014cc	f8468693	addi	x13,x13,-124	 x13:0x00000000 x13=0xffffff84
          18000	        16	800014d0	0016a223	sw	x1,4(x13)	 x13:0xffffff84  x1:0x00000000 PA:0xffffff88 store:0x00000000 load:0x00000000
          20000	        18	800014d4	0026a423	sw	x2,8(x13)	 x13:0xffffff84  x2:0x00000000 PA:0xffffff8c store:0x00000000 load:0x00000000
          22000	        20	800014d8	0036a623	sw	x3,12(x13)	 x13:0xffffff84  x3:0x00000000 PA:0xffffff90 store:0x00000000 load:0x00000000
          24000	        22	800014dc	0046a823	sw	x4,16(x13)	 x13:0xffffff84  x4:0x00000000 PA:0xffffff94 store:0x00000000 load:0x00000000
          26000	        24	800014e0	0056aa23	sw	x5,20(x13)	 x13:0xffffff84  x5:0x00000000 PA:0xffffff98 store:0x00000000 load:0x00000000
          28000	        26	800014e4	0066ac23	sw	x6,24(x13)	 x13:0xffffff84  x6:0x00000000 PA:0xffffff9c store:0x00000000 load:0x00000000
          30000	        28	800014e8	0076ae23	sw	x7,28(x13)	 x13:0xffffff84  x7:0x00000000 PA:0xffffffa0 store:0x00000000 load:0x00000000
          32000	        30	800014ec	d280	c.sw	x8,32(x13)	 x13:0xffffff84  x8:0x00000000 PA:0xffffffa4 store:0x00000000 load:0x00000000
          34000	        32	800014ee	d2c4	c.sw	x9,36(x13)	 x13:0xffffff84  x9:0x00000000 PA:0xffffffa8 store:0x00000000 load:0x00000000
          36000	        34	800014f0	d688	c.sw	x10,40(x13)	 x13:0xffffff84 x10:0x00000000 PA:0xffffffac store:0x00000000 load:0x00000000
          38000	        36	800014f2	d6cc	c.sw	x11,44(x13)	 x13:0xffffff84 x11:0x00000000 PA:0xffffffb0 store:0x00000000 load:0x00000000
          40000	        38	800014f4	da90	c.sw	x12,48(x13)	 x13:0xffffff84 x12:0x00000000 PA:0xffffffb4 store:0x00000000 load:0x00000000
          42000	        40	800014f6	dad4	c.sw	x13,52(x13)	 x13:0xffffff84 x13:0xffffff84 PA:0xffffffb8 store:0xffffff84 load:0x00000000
          44000	        42	800014f8	de98	c.sw	x14,56(x13)	 x13:0xffffff84 x14:0x00000000 PA:0xffffffbc store:0x00000000 load:0x00000000
          46000	        44	800014fa	dedc	c.sw	x15,60(x13)	 x13:0xffffff84 x15:0x00000000 PA:0xffffffc0 store:0x00000000 load:0x00000000
          48000	        46	800014fc	0506a023	sw	x16,64(x13)	 x13:0xffffff84 x16:0x00000000 PA:0xffffffc4 store:0x00000000 load:0x00000000
          50000	        48	80001500	0516a223	sw	x17,68(x13)	 x13:0xffffff84 x17:0x00000000 PA:0xffffffc8 store:0x00000000 load:0x00000000
          52000	        50	80001504	0526a423	sw	x18,72(x13)	 x13:0xffffff84 x18:0x00000000 PA:0xffffffcc store:0x00000000 load:0x00000000
          54000	        52	80001508	0536a623	sw	x19,76(x13)	 x13:0xffffff84 x19:0x00000000 PA:0xffffffd0 store:0x00000000 load:0x00000000
          56000	        54	8000150c	0546a823	sw	x20,80(x13)	 x13:0xffffff84 x20:0x00000000 PA:0xffffffd4 store:0x00000000 load:0x00000000
          58000	        56	80001510	0556aa23	sw	x21,84(x13)	 x13:0xffffff84 x21:0x00000000 PA:0xffffffd8 store:0x00000000 load:0x00000000
          60000	        58	80001514	0566ac23	sw	x22,88(x13)	 x13:0xffffff84 x22:0x00000000 PA:0xffffffdc store:0x00000000 load:0x00000000
          62000	        60	80001518	0576ae23	sw	x23,92(x13)	 x13:0xffffff84 x23:0x00000000 PA:0xffffffe0 store:0x00000000 load:0x00000000
          64000	        62	8000151c	0786a023	sw	x24,96(x13)	 x13:0xffffff84 x24:0x00000000 PA:0xffffffe4 store:0x00000000 load:0x00000000
          66000	        64	80001520	0796a223	sw	x25,100(x13)	 x13:0xffffff84 x25:0x00000000 PA:0xffffffe8 store:0x00000000 load:0x00000000
          68000	        66	80001524	07a6a423	sw	x26,104(x13)	 x13:0xffffff84 x26:0x00000000 PA:0xffffffec store:0x00000000 load:0x00000000
